# id	mode	file	needs	rc	xfail
# mode: run = bashy --bashsharp FILE · off = bashy --no-bashsharp FILE · posix = bashy --posix FILE
#       gosrc = bashy --bashsharp --source=go FILE · check = bashy check --bashsharp FILE
# needs: - | python3 | typescript | cargo | cc | c++ | go | tofu | podman — what bashy PROVISIONS
#        for the case (pinned, verified, cached on first use); never a reason to skip.
#        podman is the one exception in kind: bashy provisions the engine, but a machine
#        must be RUNNING (bashy podman info) — see the xfail cards on the engine cases
# rc: the exit status the transcript is pinned with
# xfail: OS on which the case is a KNOWN failure with its card, one `os=card` per OS, ';'-separated
#        (windows=todo:1ec1081071d7 — commands/register, text-fences/registered: a PATH entry under the profile
#        dir is rewritten to a literal $HOME, pre-existing; darwin/windows=todo:9e360c57 — the engine cases:
#        GitHub's macOS/Windows runners run no container engine); an unexpected pass there fails the gate
#        so a marker is removed when the fix lands
quickstart/judge	run	00-quickstart/judge.bsh	-	0
bash/on	run	01-bash/bash-is-bash.bsh	-	0
bash/off	off	01-bash/bash-is-bash.bsh	-	0
posix/script	posix	02-posix/posix-script.sh	-	0
posix/dialect-is-inert	posix	02-posix/dialect-is-inert.bsh	-	0
go/values	run	03-go/01-values.bsh	-	0
go/funcs	run	03-go/02-funcs.bsh	-	0
go/whole-program	gosrc	03-go/03-whole-program.go	go	0
go/transpile-direct	run	03-go/04-transpile.bsh	-	0
islands/python	run	04-islands/python.bsh	python3	0
islands/typescript	run	04-islands/typescript.bsh	typescript	0
islands/rust	run	04-islands/rust.bsh	cargo	0
islands/c	run	04-islands/c.bsh	cc	0
islands/cpp	run	04-islands/cpp.bsh	c++	0
islands/go	run	04-islands/go/go.bsh	go	0
islands/bash	run	04-islands/bash.bsh	-	0
islands/sh	run	04-islands/sh.bsh	-	0
agentic/scope	run	05-agentic/01-scope.bsh	-	0
agentic/forms	run	05-agentic/02-forms.bsh	-	0
agentic/contracts	run	05-agentic/03-contracts.bsh	-	0
agentic/judge	run	05-agentic/04-judge.bsh	-	0
agentic/yield	run	05-agentic/05-yield.bsh	-	6
sharp/decorators	run	06-sharp/01-decorators.bsh	-	0
sharp/kwargs-defaults	run	06-sharp/02-kwargs-defaults.bsh	-	0
sharp/enums	run	06-sharp/03-enums.bsh	-	0
sharp/readonly	run	06-sharp/04-readonly.bsh	-	0
sharp/null-safety	check	06-sharp/05-null-safety.bsh	-	2
commands/register	run	07-commands/register.bsh	-	0	windows=todo:1ec1081071d7
text-fences/runner	run	08-text-fences/runner.bsh	-	0
text-fences/dag	run	08-text-fences/dag.bsh	-	0
text-fences/skill	run	08-text-fences/skill.bsh	-	0
text-fences/registered	run	08-text-fences/registered.bsh	-	0	windows=todo:1ec1081071d7
advanced/builder	run	09-fences-advanced/builder.bsh	cc	0
advanced/tf	run	09-fences-advanced/tf.bsh	tofu	0
advanced/dockerfile	run	09-fences-advanced/dockerfile.bsh	podman	0	darwin=todo:9e360c57;windows=todo:9e360c57
advanced/k8s	run	09-fences-advanced/k8s.bsh	podman	0	darwin=todo:9e360c57;windows=todo:9e360c57
manifests/cargo	run	09-fences-advanced/manifests/cargo/build.bsh	cargo	0
manifests/pyproject	run	09-fences-advanced/manifests/pyproject/build.bsh	python3	0
manifests/gomod	run	09-fences-advanced/manifests/gomod/build.bsh	go	0
manifests/cmake	run	09-fences-advanced/manifests/cmake/build.bsh	cc	0
manifests/makefile	run	09-fences-advanced/manifests/makefile/build.bsh	-	0
manifests/package	run	09-fences-advanced/manifests/package/build.bsh	typescript	0
